Designator,Mid X,Mid Y,Rotation,Layer
C1,107.756942,-80.645,0.0,top
C11,108.585,-73.719836,270.0,top
C12,120.677731,-78.134889,90.0,top
C2,125.072269,-77.096359,90.0,top
C3,107.315,-73.72445,270.0,top
C4,107.711401,-75.565,180.0,top
C5,120.184796,-75.514132,270.0,top
C8,119.75,-78.141185,90.0,top
C9,126.088855,-73.398238,270.0,top
D1,123.643296,-89.668308,180.0,top
D2,123.688296,-86.829344,0.0,top
D4,122.990863,-72.950964,0.0,top
J2,128.75,-82.5,90.0,top
L1,123.5,-79.5,180.0,top
R1,109.855,-73.738298,270.0,top
R10,110.242152,-86.39839,180.0,top
R11,110.242152,-85.09,180.0,top
R12,110.242152,-83.82,180.0,top
R13,122.973296,-88.247251,180.0,top
R14,125.081355,-73.398238,90.0,top
R15,125.074612,-75.25,90.0,top
R2,117.612926,-73.66,270.0,top
R3,110.242152,-80.01,180.0,top
R4,116.205,-73.66,90.0,top
R5,110.236,-89.535,90.0,top
R6,121.539,-88.773,90.0,top
R7,110.242152,-78.74,180.0,top
R8,110.242152,-81.28,180.0,top
R9,110.242152,-82.55,180.0,top
U1,122.897715,-75.878026,270.0,top
U2,115.57,-83.185,0.0,top
U3,113.1,-82.5,270.0,bottom
Y1,107.95,-78.105,90.0,top
